feature,wavelength_nm,mean_rank,median_rank,appearances,rank_shap,rank_rfe,rank_ga_flavonol_lightgbm,rank_ga_flavonol_pls,rank_vip_chlorophyll,rank_vip_flavonol,rank_vip_nbi
snv_R551,551.0,244.28571428571428,171.0,6,468,171,81,43,463,59,425
snv_R449,449.0,244.42857142857142,208.0,4,393,171,255,152,159,373,208
cont_BandI_area,,244.42857142857142,243.0,5,243,171,251,152,362,115,417
d1snv_R963,963.0,244.57142857142858,172.0,6,29,159,247,152,497,172,456
d1snv_R487,487.0,244.85714285714286,228.0,5,376,171,175,152,263,228,349
snv_R543,543.0,245.71428571428572,171.0,6,490,171,78,42,470,54,415
d1snv_R499,499.0,246.0,191.0,5,368,171,178,152,291,191,371
d1snv_R917,917.0,246.0,233.0,6,31,147,238,152,451,233,470
R670_mean,670.0,246.14285714285714,219.0,4,266,171,255,152,201,459,219
d1snv_R709,709.0,246.14285714285714,254.0,5,272,126,255,152,254,413,251
d1snv_R628,628.0,246.71428571428572,190.0,5,101,171,193,152,487,190,433
snv_R554,554.0,246.85714285714286,171.0,6,480,171,82,44,460,61,430
snv_R652,652.0,246.85714285714286,211.0,5,436,171,97,152,216,445,211
snv_R429,429.0,247.0,233.0,4,336,171,255,152,177,405,233
d1snv_R985,985.0,247.14285714285714,255.0,5,50,163,255,152,375,308,427
snv_R784,784.0,247.57142857142858,205.0,5,409,171,116,152,205,437,243
d1snv_R605,605.0,248.0,246.0,4,458,171,255,152,333,121,246
d1snv_R546,546.0,248.0,255.0,4,303,171,255,152,350,111,394
d1snv_R452,452.0,248.14285714285714,255.0,4,350,171,255,152,266,205,338
snv_R763,763.0,248.42857142857142,262.0,5,314,171,113,152,262,394,333
d1snv_R481,481.0,248.71428571428572,255.0,4,340,171,255,152,270,198,355
d1snv_R869,869.0,249.14285714285714,225.0,4,225,171,255,152,405,93,443
snv_R587,587.0,249.14285714285714,255.0,5,347,171,255,49,341,186,395
snv_R487,487.0,250.28571428571428,173.0,4,498,171,255,152,131,372,173
snv_R569,569.0,251.0,171.0,5,359,171,85,152,434,97,459
d1_blue_peak_wl,,251.85714285714286,253.0,4,520,171,255,152,330,82,253
snv_R470,470.0,252.14285714285714,188.0,4,505,171,255,152,144,350,188
d1snv_R850,850.0,252.14285714285714,200.0,7,83,140,229,144,479,200,490
FRI_mean,,252.14285714285714,255.0,4,454,171,255,152,331,107,295
d1snv_R896,896.0,252.28571428571428,219.0,5,219,171,234,152,382,201,407
d1snv_R540,540.0,252.42857142857142,184.0,5,343,171,184,152,415,67,435
snv_R455,455.0,252.71428571428572,198.0,4,476,171,255,152,154,363,198
d1snv_R887,887.0,252.71428571428572,201.0,4,201,171,255,152,431,163,396
snv_R751,751.0,252.71428571428572,304.0,6,304,171,110,74,376,332,402
snv_R844,844.0,252.85714285714286,171.0,4,461,171,255,152,97,517,117
d1snv_R610,610.0,252.85714285714286,190.0,5,474,171,190,152,364,128,291
snv_R432,432.0,253.0,230.0,4,385,171,255,152,174,404,230
snv_R572,572.0,253.28571428571428,171.0,6,481,171,86,45,426,106,458
d1snv_R890,890.0,253.71428571428572,232.0,6,282,142,232,152,404,175,389
d1snv_R496,496.0,254.0,255.0,5,398,171,255,114,275,202,363
d1snv_R537,537.0,254.14285714285714,255.0,4,281,171,255,152,430,50,440
d1snv_R948,948.0,254.71428571428572,243.0,6,32,155,243,152,473,304,424
d1snv_R970,970.0,254.71428571428572,248.0,6,36,160,248,152,435,326,426
d1snv_R484,484.0,256.2857142857143,225.0,5,455,171,174,152,265,225,352
GNDVI_mean,,257.0,255.0,4,360,171,255,152,409,36,416
d1snv_R490,490.0,257.2857142857143,224.0,5,464,171,176,152,264,224,350
d1_all_peak_wl,,257.42857142857144,253.0,5,466,171,253,152,359,76,325
d1snv_R866,866.0,257.85714285714283,214.0,5,214,171,255,145,433,132,455
d1snv_R908,908.0,258.0,182.0,6,182,146,236,152,440,181,469
snv_R452,452.0,258.0,205.0,4,500,171,255,152,157,366,205
d1snv_R531,531.0,258.85714285714283,183.0,6,410,171,183,116,445,39,448
snv_R578,578.0,259.0,255.0,5,377,171,255,46,394,134,436
snv_R754,754.0,259.2857142857143,263.0,5,263,171,111,152,354,379,385
d1snv_R841,841.0,259.7142857142857,196.0,4,65,171,255,152,482,196,497
d1snv_R643,643.0,260.2857142857143,248.0,5,471,171,196,152,248,273,311
d1snv_R505,505.0,260.2857142857143,255.0,4,356,171,255,152,342,146,400
snv_R575,575.0,261.14285714285717,171.0,5,439,171,87,152,410,119,450
d1snv_R973,973.0,261.42857142857144,255.0,5,198,161,255,152,402,258,404
snv_R584,584.0,261.57142857142856,255.0,5,420,171,255,48,360,166,411
d1snv_R844,844.0,261.7142857142857,163.0,5,163,138,255,152,474,159,491
snv_R546,546.0,261.7142857142857,171.0,5,491,171,79,152,466,55,418
d1snv_R528,528.0,261.7142857142857,182.0,5,383,171,182,152,449,38,457
d1snv_R826,826.0,261.7142857142857,212.0,5,80,171,225,152,477,212,515
d1snv_R878,878.0,261.7142857142857,231.0,5,233,171,231,152,441,142,462
d1snv_R607,607.0,261.7142857142857,255.0,4,496,171,255,152,353,127,278
d1snv_R862,862.0,261.85714285714283,206.0,4,155,171,255,152,447,206,447
d1snv_R920,920.0,261.85714285714283,255.0,6,105,148,255,148,454,255,468
d1snv_R960,960.0,262.0,222.0,5,57,171,246,152,501,222,485
d1snv_R957,957.0,262.0,245.0,6,24,158,245,152,507,266,482
snv_R549,549.0,262.2857142857143,171.0,5,492,171,80,152,465,56,420
d1snv_R616,616.0,262.7142857142857,191.0,5,495,171,191,152,377,137,316
snv_R560,560.0,263.14285714285717,171.0,5,479,171,83,152,455,68,434
WBI_p25,,263.7142857142857,255.0,5,110,48,255,152,484,284,513
d1snv_R847,847.0,264.14285714285717,184.0,6,184,139,255,143,475,165,488
d1snv_R859,859.0,264.42857142857144,255.0,5,49,141,255,152,480,290,484
snv_R787,787.0,264.7142857142857,235.0,4,402,171,255,152,199,439,235
snv_R775,775.0,264.7142857142857,255.0,5,421,171,255,78,218,431,279
d1snv_R769,769.0,264.85714285714283,312.0,4,327,171,255,152,319,318,312
snv_R661,661.0,266.2857142857143,260.0,4,260,171,255,152,299,421,306
snv_R534,534.0,267.0,255.0,4,382,171,255,152,461,43,405
snv_R581,581.0,267.2857142857143,255.0,5,437,171,255,47,380,152,429
d1snv_R510,510.0,267.57142857142856,255.0,4,374,171,255,152,381,102,438
snv_R769,769.0,268.57142857142856,241.0,5,487,171,115,152,241,426,288
snv_R435,435.0,269.0,227.0,4,502,171,255,152,173,403,227
snv_R760,760.0,269.0,296.0,5,324,171,255,76,296,400,361
d1snv_R543,543.0,269.2857142857143,185.0,6,508,171,185,117,391,85,428
snv_R540,540.0,269.2857142857143,255.0,5,489,171,255,41,469,47,413
snv_R566,566.0,269.57142857142856,171.0,5,494,171,84,152,448,87,451
d1snv_R951,951.0,270.2857142857143,244.0,6,103,156,244,152,481,310,446
d1snv_R619,619.0,270.57142857142856,255.0,4,470,171,255,152,379,144,323
snv_R778,778.0,270.57142857142856,255.0,5,473,171,255,79,214,433,269
snv_R772,772.0,271.7142857142857,255.0,4,386,171,255,152,227,429,282
d1snv_R625,625.0,271.85714285714283,255.0,4,364,171,255,152,418,169,374
d1snv_R534,534.0,272.14285714285717,255.0,4,403,171,255,152,439,41,444
d1snv_R832,832.0,272.2857142857143,239.0,5,109,171,255,142,472,239,518
d1snv_R631,631.0,273.0,194.0,5,148,171,194,152,520,207,519
d1snv_R945,945.0,273.0,242.0,6,63,154,242,152,500,320,480
logNBI_p75,,273.14285714285717,171.0,5,517,171,25,152,478,96,473
d1snv_R872,872.0,273.14285714285717,230.0,5,414,171,230,152,420,80,445
snv_R682,682.0,273.42857142857144,378.0,6,443,65,99,152,378,398,379
d1snv_R967,967.0,274.2857142857143,211.0,5,180,171,255,149,471,211,483
d1snv_R772,772.0,274.57142857142856,255.0,4,212,171,255,152,419,307,406
d1snv_R525,525.0,275.57142857142856,181.0,6,511,171,181,115,444,40,467
d1snv_R835,835.0,276.2857142857143,227.0,5,138,171,227,152,476,253,517
d1snv_R902,902.0,276.85714285714283,255.0,4,305,171,255,152,417,185,453
d1snv_R508,508.0,277.14285714285717,255.0,4,457,171,255,152,361,125,419
d1snv_R942,942.0,277.14285714285717,255.0,5,125,153,255,152,498,293,464
snv_R781,781.0,277.2857142857143,255.0,4,452,171,255,152,213,434,264
d1snv_R914,914.0,277.85714285714283,235.0,4,235,171,255,152,450,221,461
d1snv_R976,976.0,278.14285714285717,255.0,5,286,162,255,152,446,197,449
d1snv_R502,502.0,279.85714285714283,255.0,4,512,171,255,152,313,170,386
snv_R557,557.0,280.57142857142856,255.0,4,433,171,255,152,457,65,431
d1snv_R516,516.0,281.14285714285717,179.0,5,509,171,179,152,414,71,472
d1snv_R829,829.0,281.14285714285717,226.0,6,216,171,226,141,468,230,516
snv_R655,655.0,281.14285714285717,234.0,4,484,171,255,152,234,440,232
d1snv_R982,982.0,282.2857142857143,277.0,5,279,171,249,152,411,277,437
d1snv_R875,875.0,282.57142857142856,255.0,4,390,171,255,152,429,129,452
d1snv_R838,838.0,282.7142857142857,220.0,5,206,171,228,152,488,220,514
d1snv_R911,911.0,282.85714285714283,237.0,5,362,171,237,152,438,188,432
WBI_mean,,283.14285714285717,255.0,5,166,47,255,152,509,343,510
snv_R679,679.0,283.42857142857144,337.0,5,337,171,255,62,393,369,397
d1snv_R637,637.0,284.0,255.0,4,301,171,255,152,401,243,465
logNBI_p25,,284.14285714285717,339.0,5,514,171,24,152,425,339,364
d1snv_R808,808.0,284.7142857142857,224.0,6,161,171,224,140,510,289,498
d1snv_R640,640.0,285.57142857142856,264.0,4,447,171,255,152,329,264,381
d1snv_R954,954.0,285.7142857142857,255.0,5,185,157,255,152,502,275,474
d1snv_R930,930.0,287.0,255.0,5,271,150,255,152,483,238,460
d1snv_R927,927.0,288.0,254.0,6,289,149,239,152,458,254,475
d1snv_R823,823.0,288.7142857142857,223.0,4,223,171,255,152,490,219,511
d1snv_R884,884.0,289.2857142857143,255.0,4,446,171,255,152,442,145,414
d1snv_R817,817.0,289.85714285714283,240.0,4,218,171,255,152,494,240,499
d1snv_R787,787.0,290.2857142857143,248.0,5,224,171,255,135,506,248,493
d1snv_R881,881.0,290.7142857142857,255.0,4,429,171,255,152,432,173,423
d1snv_R513,513.0,291.57142857142856,255.0,4,510,171,255,152,400,90,463
d1snv_R781,781.0,291.57142857142856,255.0,5,142,171,255,133,517,314,509
snv_R563,563.0,291.85714285714283,255.0,4,493,171,255,152,452,78,442
d1snv_R519,519.0,293.14285714285717,255.0,4,513,171,255,152,427,57,477
d1snv_R790,790.0,293.42857142857144,254.0,6,254,171,222,136,496,272,503
d1snv_R924,924.0,295.57142857142856,259.0,4,292,171,255,152,462,259,478
d1snv_R979,979.0,296.2857142857143,293.0,4,293,171,255,152,422,340,441
snv_R670,670.0,296.2857142857143,376.0,5,435,171,255,61,386,376,390
d1snv_R778,778.0,300.0,255.0,5,284,171,255,132,512,246,500
snv_R664,664.0,300.0,347.0,4,411,171,255,152,347,408,356
d1snv_R805,805.0,304.0,255.0,5,250,171,255,139,511,298,504
d1snv_R775,775.0,306.2857142857143,282.0,4,306,171,255,152,492,282,486
d1snv_R853,853.0,307.14285714285717,255.0,4,354,171,255,152,489,237,492
d1snv_R802,802.0,308.0,269.0,5,269,171,255,138,515,300,508
d1snv_R784,784.0,308.2857142857143,280.0,5,311,171,255,134,513,280,494
d1snv_R634,634.0,308.85714285714283,229.0,5,400,171,195,152,495,229,520
d1snv_R796,796.0,309.0,295.0,5,307,171,223,152,508,295,507
snv_R667,667.0,309.14285714285717,373.0,4,442,171,255,152,373,393,378
d1snv_R939,939.0,310.0,294.0,6,345,152,241,152,499,294,487
d1snv_R811,811.0,312.2857142857143,268.0,4,342,171,255,152,503,268,495
snv_R676,676.0,312.2857142857143,361.0,4,450,171,255,152,396,361,401
d1snv_R799,799.0,313.2857142857143,287.0,4,287,171,255,152,516,306,506
d1snv_R933,933.0,313.85714285714283,279.0,5,380,151,255,152,491,279,489
snv_R673,673.0,314.7142857142857,362.0,4,469,171,255,152,395,362,399
d1snv_R856,856.0,315.14285714285717,288.0,4,389,171,255,152,485,288,466
d1snv_R820,820.0,316.57142857142856,255.0,4,412,171,255,152,493,232,501
d1snv_R814,814.0,316.7142857142857,263.0,4,375,171,255,152,505,263,496
d1snv_R936,936.0,317.14285714285717,319.0,5,373,171,240,152,486,319,479
WBI_p75,,324.14285714285717,330.0,4,330,171,255,152,519,330,512
d1snv_R793,793.0,338.14285714285717,276.0,5,519,171,255,137,504,276,505
